position,artist,track,album,duration,date
1,Leon Thomas,MUTT,MUTT,193,2025-06-28
2,Rosé,APT.,APT.,169,2025-06-28
3,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-28
4,Morgan Wallen,I Ain't Comin' Back,I Ain't Comin' Back,175,2025-06-28
5,Megan Moroney,Am I Okay?,Am I Okay?,235,2025-06-28
6,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-28
7,Charli xcx,Apple,BRAT,151,2025-06-28
8,The Marías,No One Noticed,Submarine,236,2025-06-28
9,Dasha,Not At This Party,Not At This Party,212,2025-06-28
10,Jack Harlow,Lovin On Me,Lovin On Me,138,2025-06-28
11,Shaboozey,Good News,Good News,199,2025-06-28
12,Doechii,Anxiety,Anxiety,249,2025-06-28
13,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-28
14,Morgan Wallen,What I Want,I’m The Problem,184,2025-06-28
15,Lola Young,Messy,Messy,284,2025-06-28
16,Alex Warren,Ordinary,Ordinary,186,2025-06-28
17,Lady Gaga,Die With A Smile,Die With A Smile,250,2025-06-28
18,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-28
19,Kendrick Lamar,luther,GNX,178,2025-06-28
20,Miley Cyrus,End of the World,End of the World,250,2025-06-28
