position,artist,track,album,duration,date
1,The Beach Boys,Good Vibrations,The Very Best Of The Beach Boys: Sounds Of Summer,215,2025-06-03
2,Shaboozey,A Bar Song,A Bar Song (Tipsy),171,2025-06-03
3,ATEEZ,Lemon Drop,THE WORLD EP.FIN : WILL,198,2025-06-03
4,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-03
5,Stephen Wilson Jr.,Stand By Me,søn of dad (deluxe),247,2025-06-03
6,Alex Warren,Ordinary,Ordinary,186,2025-06-03
7,Ati242,Her Nerdeysen,Manifesto,149,2025-06-03
8,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-03
9,j-hope,Killin' It Girl,MONA LISA,137,2025-06-03
10,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-03
11,Ed Sheeran,Azizam,Azizam,162,2025-06-03
12,Bruce Springsteen,Sunday Love	,Sunday Love,316,2025-06-03
13,Ed Sheeran,Sapphire	,Sapphire,179,2025-06-03
14,twenty one pilots,The Contract,The Contract,228,2025-06-03
15,The Beach Boys,God Only Knows	,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-03
16,Lola Young,Messy,Messy,284,2025-06-03
17,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-03
18,Doechii,Anxiety,Anxiety,249,2025-06-03
19,Lady Gaga,Abracadabra,Abracadabra,223,2025-06-03
20,Sabrina Carpenter,Manchild,Manchild,213,2025-06-03
