position,artist,track,album,duration,date
1,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album),,0,2025-06-20
2,Ed Sheeran,Azizam,Azizam,162,2025-06-20
3,sombr,undressed,undressed,182,2025-06-20
4,Bad Bunny,EoO,DeBÍ TiRAR MáS FOToS,204,2025-06-20
5,Fourtwnty,Mangu (w/ Charita Utami),,0,2025-06-20
6,WizTheMc,Show Me Love (w/ bees & honey),Suntub,228,2025-06-20
7,Neton Vega,Morena (w/ Peso Pluma),ÉXODO,130,2025-06-20
8,Chappell Roan,"Good Luck, Babe!","Good Luck, Babe!",218,2025-06-20
9,ROSÉ,APT. (w/ Bruno Mars),24K Magic,281,2025-06-20
10,Morgan Wallen,What I Want (w/ Tate McRae),,0,2025-06-20
11,The Police,Every Breath You Take,Synchronicity (Remastered 2003),253,2025-06-20
12,Lord Huron,The Night We Met,Strange Trails,208,2025-06-20
13,Lola Young,Messy,Messy,284,2025-06-20
14,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-20
15,Sabrina Carpenter,Espresso,Espresso,175,2025-06-20
16,The Neighbourhood,Sweater Weather,I Love You.,240,2025-06-20
17,Beéle,no tiene sentido,BORONDO,159,2025-06-20
18,Charli xcx,party 4 u,how i'm feeling now,296,2025-06-20
19,Kendrick Lamar,luther,GNX,178,2025-06-20
20,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-20
